targeted,itemType,name1,name2,prompt,choiceNameFirst,choice1,choice2
second,disease,Agoriv,Ceflar,Agoriv has been found to be associated with the disease Ceflar.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
second,drug,Agoriv,Ceflar,Agoriv has been found to be associated with the drug Ceflar.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
second,disease,Agoriv,Ceflar,Agoriv has been found to be associated with the disease Ceflar.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
first,drug,Ceflar,Themaglin,The drug Ceflar has been found to be associated with Themaglin.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
first,disease,Ceflar,Themaglin,The disease Ceflar has been found to be associated with Themaglin.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
first,drug,Ceflar,Themaglin,The drug Ceflar has been found to be associated with Themaglin.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
first,disease,Ceflar,Themaglin,The disease Ceflar has been found to be associated with Themaglin.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
second,drug,Ceflar,Themaglin,Ceflar has been found to be associated with the drug Themaglin.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
second,disease,Ceflar,Themaglin,Ceflar has been found to be associated with the disease Themaglin.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
second,drug,Ceflar,Themaglin,Ceflar has been found to be associated with the drug Themaglin.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
second,disease,Ceflar,Themaglin,Ceflar has been found to be associated with the disease Themaglin.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
first,drug,Ceflar,Rebosen,The drug Ceflar has been found to be associated with Rebosen.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
first,disease,Ceflar,Rebosen,The disease Ceflar has been found to be associated with Rebosen.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
first,drug,Ceflar,Rebosen,The drug Ceflar has been found to be associated with Rebosen.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
first,disease,Ceflar,Rebosen,The disease Ceflar has been found to be associated with Rebosen.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
second,drug,Ceflar,Rebosen,Ceflar has been found to be associated with the drug Rebosen.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
second,disease,Ceflar,Rebosen,Ceflar has been found to be associated with the disease Rebosen.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
second,drug,Ceflar,Rebosen,Ceflar has been found to be associated with the drug Rebosen.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
second,disease,Ceflar,Rebosen,Ceflar has been found to be associated with the disease Rebosen.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
first,drug,Ceflar,Denoden,The drug Ceflar has been found to be associated with Denoden.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
first,disease,Ceflar,Denoden,The disease Ceflar has been found to be associated with Denoden.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
first,drug,Ceflar,Denoden,The drug Ceflar has been found to be associated with Denoden.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
first,disease,Ceflar,Denoden,The disease Ceflar has been found to be associated with Denoden.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
second,drug,Ceflar,Denoden,Ceflar has been found to be associated with the drug Denoden.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
second,disease,Ceflar,Denoden,Ceflar has been found to be associated with the disease Denoden.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
second,drug,Ceflar,Denoden,Ceflar has been found to be associated with the drug Denoden.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
second,disease,Ceflar,Denoden,Ceflar has been found to be associated with the disease Denoden.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
first,drug,Ceflar,Flembers,The drug Ceflar has been found to be associated with Flembers.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
first,disease,Ceflar,Flembers,The disease Ceflar has been found to be associated with Flembers.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
first,drug,Ceflar,Flembers,The drug Ceflar has been found to be associated with Flembers.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
first,disease,Ceflar,Flembers,The disease Ceflar has been found to be associated with Flembers.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
second,drug,Ceflar,Flembers,Ceflar has been found to be associated with the drug Flembers.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
second,disease,Ceflar,Flembers,Ceflar has been found to be associated with the disease Flembers.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
second,drug,Ceflar,Flembers,Ceflar has been found to be associated with the drug Flembers.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
second,disease,Ceflar,Flembers,Ceflar has been found to be associated with the disease Flembers.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
first,drug,Ceflar,Agoriv,The drug Ceflar has been found to be associated with Agoriv.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
first,disease,Ceflar,Agoriv,The disease Ceflar has been found to be associated with Agoriv.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
first,drug,Ceflar,Agoriv,The drug Ceflar has been found to be associated with Agoriv.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
first,disease,Ceflar,Agoriv,The disease Ceflar has been found to be associated with Agoriv.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
second,drug,Ceflar,Agoriv,Ceflar has been found to be associated with the drug Agoriv.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
second,disease,Ceflar,Agoriv,Ceflar has been found to be associated with the disease Agoriv.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
second,drug,Ceflar,Agoriv,Ceflar has been found to be associated with the drug Agoriv.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
second,disease,Ceflar,Agoriv,Ceflar has been found to be associated with the disease Agoriv.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
